transaction_id,store_id,timestamp,basket_value_inr
104363838,STORE_BLR_001,2026-04-10T16:55:36Z,274.36
104377545,STORE_BLR_001,2026-04-10T19:21:55Z,99.0
104362899,STORE_BLR_001,2026-04-10T16:45:32Z,553.17
104373042,STORE_BLR_001,2026-04-10T18:41:51Z,1448.18
104375288,STORE_BLR_001,2026-04-10T19:02:09Z,466.67
104346717,STORE_BLR_001,2026-04-10T13:41:55Z,49.5
104380754,STORE_BLR_001,2026-04-10T19:54:02Z,198.0
104341290,STORE_BLR_001,2026-04-10T12:42:18Z,1.0
104369411,STORE_BLR_001,2026-04-10T17:55:02Z,215.67
104338647,STORE_BLR_001,2026-04-10T12:15:05Z,302.33
104347785,STORE_BLR_001,2026-04-10T13:55:16Z,0.0
104383803,STORE_BLR_001,2026-04-10T20:25:04Z,224.31
104378732,STORE_BLR_001,2026-04-10T19:33:52Z,249.0
104350137,STORE_BLR_001,2026-04-10T14:23:21Z,225.0
104359750,STORE_BLR_001,2026-04-10T16:08:03Z,799.0
104379480,STORE_BLR_001,2026-04-10T19:41:29Z,450.0
104370397,STORE_BLR_001,2026-04-10T18:07:14Z,495.0
104358212,STORE_BLR_001,2026-04-10T15:50:44Z,400.0
104357849,STORE_BLR_001,2026-04-10T15:46:39Z,599.0
104353598,STORE_BLR_001,2026-04-10T15:02:20Z,314.8
104368521,STORE_BLR_001,2026-04-10T17:44:44Z,299.0
104389493,STORE_BLR_001,2026-04-10T21:16:15Z,269.1
104391745,STORE_BLR_001,2026-04-10T21:39:55Z,427.5
104369867,STORE_BLR_001,2026-04-10T18:00:18Z,149.0
